nome,wiki,urls,wiki_visual,wiki_avg
André Zambo Anguissa,https://en.wikipedia.org/wiki/André-Frank_Zambo_Anguissa,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=André-Frank_Zambo_Anguissa,74364,210
Lucas Tousart,https://en.wikipedia.org/wiki/Lucas_Tousart,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Lucas_Tousart,43265,122
Fabián Ruiz,https://en.wikipedia.org/wiki/Fabián_Ruiz_Peña,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Fabián_Ruiz_Peña,135178,382
Nicolas Pépé,https://en.wikipedia.org/wiki/Nicolas_Pépé,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Nicolas_Pépé,107068,302
Moussa Marega,https://en.wikipedia.org/wiki/Moussa_Marega,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Moussa_Marega,128824,364
Giovanni Simeone,https://en.wikipedia.org/wiki/Giovanni_Simeone,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Giovanni_Simeone,317301,896
Jean-Kévin Augustin,https://en.wikipedia.org/wiki/Jean-Kévin_Augustin,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Jean-Kévin_Augustin,103668,293
Jefferson Lerma,https://en.wikipedia.org/wiki/Jefferson_Lerma,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Jefferson_Lerma,137665,389
Talisca,https://en.wikipedia.org/wiki/Talisca,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Talisca,287288,812
Alex Telles,https://en.wikipedia.org/wiki/Alex_Telles,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Alex_Telles,96766,273
Abdou Diallo,https://en.wikipedia.org/wiki/Abdou_Diallo,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Abdou_Diallo,136375,385
Wendell,https://en.wikipedia.org/wiki/Wendell_(footballer),https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Wendell_(footballer),34761,98
Lucas Vázquez,https://en.wikipedia.org/wiki/Lucas_Vázquez,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Lucas_Vázquez,412608,1166
Elseid Hysaj,https://en.wikipedia.org/wiki/Elseid_Hysaj,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Elseid_Hysaj,108605,307
