pres_2018_tot,goal_2018_tot,assist_2018_tot,pres_2018_CL,goal_2018_CL,assist_2018_CL,pres_2017_tot,goal_2017_tot,assist_2017_tot,pres_2017_CL,goal_2017_CL,assist_2017_CL,pres_tot,goal_tot,assist_tot,pres_tot_CL,goal_tot_CL,assist_tot_CL
24,1,6,6,-,2,45,4,20,7,1,2,233,9,46,27,1,6
20,1,-,5,-,-,30,3,1,-,-,-,109,7,2,6,-,-
23,1,1,-,-,-,30,3,3,-,-,-,202,7,12,16,-,2
22,2,2,4,1,1,53,8,16,10,1,3,265,34,61,31,3,7
18,-,1,3,-,-,47,-,1,6,-,-,289,2,9,16,-,-
21,3,2,5,-,-,47,12,4,-,-,-,186,27,10,11,-,-
1,-,-,-,-,-,34,3,4,-,-,-,183,20,4,-,-,-
9,1,-,3,-,-,34,1,-,5,-,-,253,8,5,17,1,-
25,4,3,6,2,-,37,1,5,4,-,-,215,17,27,14,2,-
21,-,1,5,-,1,38,2,6,5,-,-,244,7,19,13,-,1
12,-,1,-,-,-,41,-,-,-,-,-,229,6,13,-,-,-
17,-,-,3,-,-,29,-,-,5,-,-,255,5,5,20,-,-
17,2,-,-,-,-,31,1,3,-,-,-,177,7,5,-,-,-
19,1,-,-,-,-,40,2,3,-,-,-,169,11,9,1,-,1
23,2,4,6,-,1,39,11,5,-,-,-,296,57,29,6,-,1
17,1,4,5,1,1,31,3,3,-,-,-,235,21,22,5,1,1
22,3,4,-,-,-,5,-,-,-,-,-,251,41,36,-,-,-
6,1,1,1,-,-,35,10,10,-,-,-,255,49,32,1,-,-
16,1,2,-,-,-,35,1,3,-,-,-,270,30,45,17,1,2
4,-,2,1,-,-,17,2,5,4,-,1,254,3,35,13,-,4
14,1,-,-,-,-,37,5,2,-,-,-,298,42,16,13,-,1
12,3,3,-,-,-,33,5,4,5,2,-,317,75,65,11,2,1
24,3,4,-,-,-,34,5,9,5,-,3,341,102,59,5,-,3
19,12,7,-,-,-,37,11,9,-,-,-,272,66,69,8,1,1
16,3,4,4,1,2,34,5,6,1,-,-,289,30,39,11,2,4
18,2,-,-,-,-,38,3,2,-,-,-,303,19,10,12,-,-
11,-,1,2,-,-,29,-,5,1,-,-,260,2,34,14,-,1
19,11,2,-,-,-,37,23,5,-,-,-,367,144,32,-,-,-
13,1,2,3,-,-,34,4,2,-,-,-,314,59,54,16,1,2
25,6,2,-,-,-,48,7,5,7,1,2,477,133,83,73,16,11
17,1,-,-,-,-,44,7,6,-,-,-,347,18,16,18,-,-
19,7,2,-,-,-,27,14,1,-,-,-,269,105,29,11,2,1
21,1,-,-,-,-,17,2,-,4,1,-,438,30,23,54,7,1
14,5,2,-,-,-,35,11,8,-,-,-,360,78,65,5,2,-
21,2,3,5,-,-,35,6,2,8,-,-,461,93,67,59,14,5
8,1,-,3,-,-,39,9,7,8,-,3,446,49,47,71,1,9
17,7,4,4,5,2,49,24,7,12,8,5,533,253,107,53,22,12
23,1,4,4,-,1,43,2,8,11,1,1,509,52,91,74,5,9
14,1,2,-,-,-,49,3,9,8,1,1,654,123,202,104,20,24
18,-,1,6,-,-,30,4,3,6,1,3,265,22,10,26,1,3
20,-,8,6,-,3,50,12,17,6,1,1,459,106,95,35,11,7
