nome,Instagram,Facebook,Twitter,SOCIAL,Germania,Francia,Italia,Spagna,Inghilterra,Internazionale,MEDIA,GOOGLE,WIKIPEDIA,IPOP
Rafinha,0.512,0.655,0.609,0.592,0.408,0.357,0.57,0.443,0.414,0.507,0.45,0.142,0.478,0.463
Juan Cuadrado,0.613,0.701,0.713,0.676,0.476,0.669,0.855,0.618,0.566,0.681,0.644,0.711,0.477,0.644
Kevin Strootman,0.385,0.509,0.547,0.48,0.308,0.506,0.729,0.347,0.49,0.556,0.489,0.301,0.333,0.456
Jordan Henderson,0.485,0.582,0.546,0.538,0.442,0.404,0.35,0.358,0.704,0.668,0.488,0.601,0.544,0.517
Cengiz Ünder,0.446,0.269,0.399,0.371,0.275,0.533,0.591,0.212,0.486,0.508,0.434,0.394,0.407,0.411
Hakan Calhanoglu,0.505,0.571,0.463,0.513,0.576,0.251,0.477,0.345,0.45,0.51,0.435,0.182,0.354,0.426
Santiago Ascacíbar,0.164,0.118,0.222,0.168,0.448,0.092,0.085,0.17,0.11,0.049,0.159,0.007,0.13,0.145
Nikola Milenkovic,0.143,0.081,0.195,0.139,0.23,0.39,0.606,0.257,0.425,0.441,0.392,0.308,0.236,0.301
Lautaro Martínez,0.475,0.249,0.386,0.37,0.22,0.264,0.612,0.372,0.363,0.509,0.39,0.413,0.446,0.392
Amine Harit,0.395,0.391,0.35,0.378,0.464,0.391,0.038,0.179,0.281,0.31,0.277,0.11,0.262,0.288
Pablo Fornals,0.113,0.068,0.162,0.114,0.112,0.182,0.189,0.492,0.296,0.428,0.283,0.108,0.171,0.211
André Zambo Anguissa,0.164,0.128,0.23,0.174,0.14,0.495,0.25,0.187,0.362,0.398,0.305,0.093,0.186,0.239
Lucas Tousart,0.172,0.065,0.285,0.174,0.159,0.611,0.258,0.196,0.265,0.327,0.303,0.055,0.106,0.227
Fabián Ruiz,0.305,0.257,0.3,0.287,0.154,0.26,0.522,0.353,0.299,0.397,0.331,0.486,0.275,0.328
Nicolas Pépé,0.119,0.086,0.198,0.134,0.262,0.495,0.208,0.335,0.492,0.47,0.377,0.511,0.241,0.31
Giovanni Simeone,0.276,0.277,0.433,0.329,0.247,0.333,0.593,0.376,0.386,0.454,0.398,0.335,0.402,0.374
Jean-Kévin Augustin,0.164,0.235,0.269,0.222,0.491,0.486,0.13,0.268,0.387,0.394,0.359,0.613,0.236,0.334
Jefferson Lerma,0.209,0.081,0.099,0.13,0.146,0.275,0.131,0.553,0.456,0.386,0.325,0.452,0.278,0.279
